track_id,xmin,ymin,xmax,ymax,frame,lost,occluded,generated,label
0,213.0,1038.0,241.0,1072.0,10000,1,0,0,Biker
0,211.0,1038.0,239.0,1072.0,10001,1,0,1,Biker
0,211.0,1038.0,239.0,1072.0,10002,1,0,1,Biker
0,211.0,1038.0,239.0,1072.0,10003,1,0,1,Biker
0,211.0,1038.0,239.0,1072.0,10004,1,0,1,Biker
0,211.0,1038.0,239.0,1072.0,10005,1,0,1,Biker
0,211.0,1038.0,239.0,1072.0,10006,1,0,1,Biker
0,211.0,1038.0,239.0,1072.0,10007,1,0,1,Biker
0,211.0,1038.0,239.0,1072.0,10008,1,0,1,Biker
0,211.0,1038.0,239.0,1072.0,10009,1,0,1,Biker
0,209.0,1038.0,237.0,1072.0,10010,1,0,1,Biker
0,209.0,1040.0,237.0,1072.0,10011,1,0,1,Biker
0,209.0,1040.0,237.0,1072.0,10012,1,0,1,Biker
0,209.0,1040.0,237.0,1074.0,10013,1,0,1,Biker
0,209.0,1040.0,237.0,1074.0,10014,1,0,1,Biker
0,209.0,1040.0,237.0,1074.0,10015,1,0,1,Biker
0,209.0,1040.0,237.0,1074.0,10016,1,0,1,Biker
0,209.0,1040.0,237.0,1074.0,10017,1,0,1,Biker
0,209.0,1040.0,237.0,1074.0,10018,1,0,1,Biker
0,207.0,1040.0,235.0,1074.0,10019,1,0,1,Biker
0,207.0,1040.0,235.0,1074.0,10020,1,0,1,Biker
0,207.0,1040.0,235.0,1074.0,10021,1,0,1,Biker
0,207.0,1042.0,235.0,1074.0,10022,1,0,1,Biker
0,207.0,1042.0,235.0,1074.0,10023,1,0,1,Biker
0,207.0,1042.0,235.0,1074.0,10024,1,0,1,Biker
0,207.0,1042.0,235.0,1074.0,10025,1,0,1,Biker
0,207.0,1042.0,235.0,1076.0,10026,1,0,1,Biker
0,207.0,1042.0,235.0,1076.0,10027,1,0,1,Biker
0,205.0,1042.0,233.0,1076.0,10028,1,0,1,Biker
0,205.0,1042.0,233.0,1076.0,10029,1,0,1,Biker
0,205.0,1042.0,233.0,1076.0,10030,1,0,1,Biker
0,205.0,1042.0,233.0,1076.0,10031,1,0,1,Biker
0,205.0,1044.0,233.0,1076.0,10032,1,0,1,Biker
0,205.0,1044.0,233.0,1076.0,10033,1,0,1,Biker
