track_id,label
0,Pedestrian
1,Biker
2,Biker
3,Biker
4,Biker
5,Biker
6,Pedestrian
7,Pedestrian
8,Pedestrian
9,Biker
10,Biker
11,Biker
12,Biker
13,Biker
14,Biker
15,Biker
16,Biker
17,Pedestrian
18,Pedestrian
19,Cart
20,Cart
21,Pedestrian
22,Pedestrian
23,Pedestrian
24,Biker
25,Biker
26,Biker
27,Pedestrian
28,Pedestrian
29,Pedestrian
30,Biker
31,Biker
32,Biker
33,Biker
34,Biker
35,Pedestrian
36,Pedestrian
37,Pedestrian
38,Biker
39,Pedestrian
40,Pedestrian
41,Biker
42,Biker
43,Pedestrian
44,Bus
45,Pedestrian
46,Pedestrian
47,Pedestrian
48,Pedestrian
49,Biker
50,Biker
51,Pedestrian
52,Biker
53,Pedestrian
54,Biker
55,Biker
56,Biker
57,Bus
58,Biker
59,Pedestrian
60,Pedestrian
61,Pedestrian
62,Pedestrian
63,Biker
64,Pedestrian
65,Biker
66,Biker
67,Biker
68,Pedestrian
69,Pedestrian
70,Pedestrian
71,Pedestrian
72,Pedestrian
73,Pedestrian
74,Pedestrian
75,Pedestrian
76,Pedestrian
77,Pedestrian
78,Pedestrian
79,Pedestrian
80,Pedestrian
81,Pedestrian
82,Pedestrian
83,Biker
84,Biker
85,Pedestrian
86,Biker
87,Biker
88,Pedestrian
89,Biker
90,Biker
91,Biker
92,Biker
93,Pedestrian
94,Pedestrian
95,Biker
96,Biker
97,Biker
98,Biker
99,Biker
100,Biker
101,Biker
102,Pedestrian
103,Biker
104,Pedestrian
105,Pedestrian
106,Pedestrian
107,Biker
108,Biker
109,Pedestrian
110,Pedestrian
111,Pedestrian
112,Biker
113,Pedestrian
114,Biker
115,Pedestrian
116,Biker
117,Biker
118,Biker
119,Biker
120,Pedestrian
121,Biker
122,Pedestrian
123,Biker
124,Pedestrian
125,Pedestrian
126,Pedestrian
127,Pedestrian
128,Pedestrian
129,Biker
130,Skater
131,Biker
132,Biker
133,Biker
134,Biker
135,Biker
136,Pedestrian
137,Biker
138,Biker
139,Biker
140,Biker
141,Biker
142,Biker
143,Pedestrian
144,Pedestrian
145,Pedestrian
146,Biker
147,Biker
148,Pedestrian
149,Pedestrian
150,Pedestrian
151,Pedestrian
152,Biker
153,Biker
154,Biker
155,Biker
156,Pedestrian
157,Biker
158,Pedestrian
159,Biker
160,Biker
161,Biker
162,Biker
163,Biker
164,Car
165,Pedestrian
166,Pedestrian
167,Pedestrian
168,Pedestrian
169,Pedestrian
170,Skater
171,Biker
172,Skater
173,Skater
174,Pedestrian
175,Biker
176,Pedestrian
177,Pedestrian
178,Pedestrian
179,Biker
180,Biker
181,Pedestrian
182,Pedestrian
183,Biker
184,Car
185,Pedestrian
186,Pedestrian
187,Biker
188,Biker
189,Pedestrian
190,Skater
191,Pedestrian
192,Biker
193,Biker
194,Pedestrian
195,Biker
