track_id,label
0,Biker
1,Biker
2,Biker
3,Skater
4,Skater
5,Skater
6,Biker
7,Pedestrian
8,Pedestrian
9,Pedestrian
10,Biker
11,Biker
12,Biker
13,Biker
14,Pedestrian
15,Pedestrian
16,Biker
17,Biker
18,Biker
19,Biker
20,Biker
21,Biker
22,Biker
23,Biker
24,Biker
25,Pedestrian
26,Biker
27,Pedestrian
28,Biker
29,Biker
30,Pedestrian
31,Pedestrian
32,Pedestrian
33,Bus
34,Pedestrian
35,Pedestrian
36,Biker
37,Biker
38,Biker
39,Pedestrian
40,Pedestrian
41,Pedestrian
42,Biker
43,Biker
44,Biker
45,Pedestrian
