frame,target_track_id,target_x,target_y,target_label,min_distance_to_pedestrian
4000,1,241.5,40.5,Pedestrian,76.095334942426
4001,1,241.5,38.5,Pedestrian,72.76331493273241
4002,1,241.5,38.5,Pedestrian,72.76331493273241
4003,1,241.5,38.5,Pedestrian,70.30824987154779
4004,1,244.5,37.0,Pedestrian,67.08203932499369
4005,1,244.5,37.0,Pedestrian,65.43126164151201
4006,1,244.5,36.0,Pedestrian,63.63961030678928
4007,1,244.5,35.0,Pedestrian,62.51399843235114
4008,1,247.0,35.0,Pedestrian,60.035406219996545
4009,1,247.0,35.0,Pedestrian,57.063561052566634
4010,1,247.0,35.0,Pedestrian,56.931976954959154
4011,1,247.0,32.5,Pedestrian,55.1837838499681
4012,1,250.0,32.5,Pedestrian,50.62114182829147
4013,1,250.0,32.5,Pedestrian,49.1248409666637
4014,1,250.0,31.0,Pedestrian,49.01020301937138
4015,1,252.5,31.0,Pedestrian,44.51123453691214
4016,1,252.5,30.0,Pedestrian,44.5
4017,1,252.5,29.0,Pedestrian,41.512046444375635
4018,1,252.5,29.0,Pedestrian,41.548164821084455
4019,1,255.5,29.0,Pedestrian,38.658763560155414
4020,1,255.5,29.0,Pedestrian,35.67211796347394
4021,1,255.5,27.0,Pedestrian,35.92352989337211
4022,1,255.5,27.0,Pedestrian,34.44198019858905
4023,1,258.0,27.0,Pedestrian,30.5
4024,1,258.0,26.0,Pedestrian,30.364452901377952
4025,1,258.0,26.0,Pedestrian,30.364452901377952
4026,1,258.0,25.0,Pedestrian,28.324018076537094
4027,1,261.0,23.5,Pedestrian,26.16295090390226
4028,1,261.0,23.5,Pedestrian,25.30316185775999
4029,1,261.0,23.5,Pedestrian,24.01041440708594
4030,1,263.5,23.5,Pedestrian,21.319005605327842
4031,1,261.0,23.5,Pedestrian,22.102036105300343
4032,1,261.0,23.5,Pedestrian,21.319005605327842
4033,1,258.0,23.5,Pedestrian,24.60182920028509
4034,1,258.0,23.5,Pedestrian,22.299103120977758
4035,1,258.0,23.5,Pedestrian,22.983689869122408
4036,1,255.5,23.5,Pedestrian,24.839484696748443
4037,1,255.5,23.5,Pedestrian,22.983689869122408
4038,1,255.5,23.5,Pedestrian,23.69071548096427
4039,1,252.5,23.5,Pedestrian,24.758836806279895
4040,1,252.5,23.5,Pedestrian,23.69071548096427
4041,1,252.5,23.5,Pedestrian,23.753947040439407
4042,1,250.0,23.5,Pedestrian,26.1725046566048
4043,1,250.0,23.5,Pedestrian,24.20743687382041
4044,1,247.0,23.5,Pedestrian,26.1725046566048
4045,1,247.0,23.5,Pedestrian,24.20743687382041
4046,1,247.0,23.5,Pedestrian,24.20743687382041
4047,1,244.5,23.5,Pedestrian,26.800186566514792
4048,1,244.5,23.5,Pedestrian,26.21545345783666
