track_id,label
0,Biker
1,Biker
2,Pedestrian
3,Pedestrian
4,Biker
5,Biker
6,Pedestrian
7,Pedestrian
8,Biker
9,Biker
10,Biker
11,Biker
12,Biker
13,Pedestrian
14,Biker
15,Biker
16,Biker
17,Biker
18,Biker
19,Biker
20,Biker
21,Pedestrian
22,Biker
23,Pedestrian
24,Biker
25,Biker
26,Biker
27,Pedestrian
28,Biker
29,Biker
30,Biker
31,Biker
32,Biker
33,Biker
34,Biker
35,Biker
36,Biker
37,Pedestrian
38,Pedestrian
39,Biker
40,Biker
41,Pedestrian
42,Pedestrian
43,Biker
44,Biker
45,Pedestrian
46,Pedestrian
47,Pedestrian
48,Pedestrian
49,Biker
50,Biker
51,Biker
52,Biker
53,Biker
54,Biker
55,Biker
56,Biker
57,Pedestrian
58,Pedestrian
59,Biker
60,Biker
61,Biker
62,Biker
63,Biker
64,Biker
65,Biker
66,Biker
67,Pedestrian
68,Pedestrian
69,Biker
70,Biker
71,Biker
72,Biker
73,Biker
74,Biker
75,Pedestrian
76,Pedestrian
77,Biker
78,Biker
79,Biker
80,Biker
81,Pedestrian
82,Biker
83,Biker
84,Biker
85,Pedestrian
86,Pedestrian
87,Biker
88,Biker
89,Biker
90,Pedestrian
91,Pedestrian
92,Pedestrian
93,Biker
94,Biker
95,Biker
96,Biker
97,Biker
98,Biker
99,Biker
100,Pedestrian
101,Biker
102,Biker
103,Pedestrian
104,Pedestrian
105,Biker
106,Biker
107,Biker
108,Pedestrian
109,Biker
110,Biker
111,Pedestrian
112,Biker
113,Biker
114,Biker
115,Biker
116,Biker
117,Biker
118,Biker
119,Biker
120,Biker
121,Pedestrian
122,Biker
123,Biker
124,Biker
125,Pedestrian
126,Pedestrian
127,Pedestrian
128,Pedestrian
129,Biker
130,Biker
131,Biker
132,Biker
133,Pedestrian
134,Biker
135,Biker
136,Pedestrian
137,Pedestrian
138,Biker
139,Biker
140,Biker
141,Pedestrian
142,Biker
143,Biker
144,Pedestrian
145,Biker
146,Biker
147,Biker
148,Biker
149,Pedestrian
150,Biker
151,Pedestrian
152,Biker
153,Biker
154,Biker
155,Biker
156,Pedestrian
157,Biker
158,Biker
159,Biker
160,Biker
161,Pedestrian
162,Biker
163,Biker
164,Biker
165,Bus
166,Pedestrian
167,Pedestrian
